,sample,mu1_1,s1_1,A1_1,mu2_1,s2_1,A2_1,fneg_1,A1+A2,A_neg,fa1,mu1_2,s1_2,A1_2,mu2_2,s2_2,A2_2,fneg_2,,,fa2,mu1_3,s1_3,A1_3,mu2_3,s2_3,A2_3,fneg_3,,,fa3
28,402_1,6.028557334,0.653699704,8216.244842,8.39568979,0.597726552,11922.43231,0.004708093,20138.67715,95.26327977,0.589229387,6.027874093,0.580462806,17638.7512,8.163419016,0.425355219,4917.440374,0.038242362,22556.19158,896.9016917,0.209671292,6.125077785,0.601508599,16376.40543,8.212611888,0.486055387,7156.057106,0.01985578,23532.46254,476.7210755,0.298054995
29,402_2,6.136284647,0.572096089,20772.38241,8.561058517,0.484666149,3385.226955,0.004420334,24157.60937,107.2588105,0.13951145,6.023308614,0.542707489,21791.15908,8.318445811,0.378068028,422.2141332,0.044308058,22213.37322,1029.862651,0.018165032,6.146182689,0.569512324,22304.13667,8.226448513,0.398582827,907.537645,0.021086295,23211.67431,499.9911809,0.038273889
30,402_3,6.124074508,0.565167125,23340.64466,8.591302775,0.433916988,718.2467117,0.005034026,24058.89137,121.7258537,0.029703407,5.999758224,0.537709854,21823.52576,8.366200473,0.276042415,26.68918693,0.041774213,21850.21495,952.5683257,0.001170435,6.148348552,0.560939448,23093.98305,8.306410236,0.387692131,88.2057833,0.019854647,23182.18883,469.5978694,0.00372935
31,402_4,6.123771729,0.558915533,24060.4823,16.0332999,0.10332992,0.201775484,0.005083758,24060.68408,122.9437231,8.34347E-06,6.013304239,0.534095222,21643.7348,8.615463138,0.117279572,0.453423534,0.044123616,21644.18823,999.1039292,2.00246E-05,6.147285113,0.563325324,23268.10337,15.96868256,0.0015,0.142934552,0.019641235,23268.24631,466.1733027,6.02225E-06
32,402C_1,6.056245088,0.606420465,15504.6869,8.350869114,0.541494173,8994.541678,0.004978243,24499.22858,122.5733077,0.365308019,6.074588953,0.565830465,19891.51773,8.190472635,0.375920325,2250.133811,0.043922637,22141.65154,1017.197728,0.097160864,6.131076197,0.57497299,20674.27931,8.145415173,0.406473345,2510.260558,0.020373848,23184.53986,482.1822047,0.106067099
33,402C_2,6.070025957,0.560791426,22324.95825,8.414629968,0.470475516,1733.418783,0.005743777,24058.37703,138.9842449,0.071636686,5.986883802,0.532696223,22048.30228,8.298784205,0.340772912,192.0600242,0.041676305,22240.3623,967.2056843,0.00827575,6.151059843,0.566361011,22852.4137,8.217897682,0.371640304,369.0075509,0.020572243,23221.42125,487.7508406,0.015563915
34,402C_3,6.065292658,0.573192035,23691.77928,8.516004878,0.433130645,325.4385865,0.006026106,24017.21786,145.6077425,0.013468565,6.035764812,0.547221606,22127.85579,8.504436017,0.211370162,8.06812501,0.049483243,22135.92391,1152.380852,0.000346445,6.166910693,0.566518398,23113.89378,8.058601052,0.332173032,66.08690842,0.019826304,23179.98068,468.8692906,0.002794508
35,402C_4,6.060699585,0.567713272,24024.51456,15.58056589,0.0015,0.122254475,0.0063022,24024.63681,152.3683252,5.05664E-06,5.998169807,0.540540117,22262.56245,9.50464746,0.331816025,2.048066329,0.047122912,22264.61052,1101.058363,8.76528E-05,6.14713546,0.568050852,23082.64691,7.825635588,0.149315932,18.2362542,0.022777173,23100.88316,538.4368932,0.000771437
36,574_1,6.100498143,0.553757868,23980.33885,8.753290139,0.095396147,0.211839109,0.00557573,23980.55069,134.4587892,8.78453E-06,6.074899755,0.534481262,21594.41775,8.760649563,0.033807742,0.298118722,0.043440525,21594.71587,980.6873673,1.32055E-05,6.145354679,0.561245753,21418.87081,7.847253374,0.136362397,17.94267744,0.020107819,21436.81349,439.892842,0.000820173
37,574_4,6.091494969,0.570035255,24131.67751,16.03025345,0.038755811,0.233492063,0.005550433,24131.911,134.6901439,9.62195E-06,6.075109826,0.530806047,22279.09974,8.481258227,0.133106777,0.404531759,0.03673834,22279.50427,849.729671,1.74901E-05,6.187946112,0.569741489,23260.12176,7.972748261,0.153478352,16.22715165,0.018996123,23276.34892,450.7223614,0.000683909
38,403_1,5.759498355,0.710303445,16458.13333,7.924337981,0.615502308,7532.034978,0.022249031,23990.16831,545.9038289,0.306978025,5.876951209,0.652931714,20051.85553,7.8159999,0.436710701,1327.35233,0.07709532,21379.20786,1785.923188,0.057299582,5.959953457,0.637551081,21546.71496,7.642139131,0.290947707,697.3790114,0.046714511,22244.09397,1090.04279,0.029886643
39,403_2,5.767374991,0.634596095,22140.322,7.695831835,0.284614119,856.16225,0.025517438,22996.48425,602.1773863,0.036280119,5.807344494,0.551736729,20333.38242,7.524336261,0.471908479,192.9789837,0.088855512,20526.36141,2001.746579,0.008566143,5.949393998,0.625063882,22642.41919,8.170790299,0.211171498,11.95636458,0.047079951,22654.37555,1119.261687,0.000502925
40,403_3,5.718830095,0.603376972,23055.34942,7.734586693,0.273882434,151.0378419,0.027457164,23206.38726,655.1707128,0.006329756,5.74709943,0.552112732,20450.31098,7.699152307,0.166275526,6.865301155,0.084238967,20457.17629,1881.813411,0.000307324,5.807600595,0.56584046,22349.86681,7.7002417,0.069353253,4.438655464,0.047527915,22354.30546,1115.469456,0.000189122
